nama,sinta_id,dept,sinta_score,sinta_3yr_score,scopus_h_index,gs_h_index
HR AAM HAMDANI,5993854,Pendidikan Teknik Mesin (S1),697,302,4,6
TOMMI HARIYADI,5992365,Teknik Elektro (S1),1.089,302,6,8
RIKO ARRASYID,6681555,Pendidikan Pariwisata (S1),444,301,1,3
WILDAN INSAN FAUZI,5992676,Pendidikan Sejarah (S1),513,301,1,5
PIPIT PITRIANI,6663966,Pendidikan Kepelatihan Olahraga (S1),370,301,1,4
EDI HENDRI MULYANA,5978623,PGPAUD Kampus Tasikmalaya (S1),962,300,4,9
IRMA RAHMA SUWARMA,5983995,Pendidikan Fisika (S2),768,298,4,14
ATEP SUJANA,5993423,PGSD Kampus Sumedang (S1),1.169,298,4,18
JUDHISTIRA ARIA UTAMA,6125861,Fisika (S1),980,297,4,7
R ASEP KADAROHMAN,5984423,Pendidikan Ilmu Pengetahuan Alam (S3),1.157,297,8,16
DINI HANDAYANI,6676481,Unknown,1.028,297,7,0
ELIYAWATI,6000519,Pendidikan IPA (S1),436,295,1,5
DODI SURYANA,6121280,Bimbingan Dan Konseling (S1),414,295,3,6
FAHMI CANDRA PERMANA,6068366,Pendidikan Multimedia Kampus Cibiru (S1),436,293,2,6
BAMBANG AVIP PRIATNA MARTADIPUTRA,6124136,Pendidikan Matematika (S1),564,292,2,8
TATANG MUHTAR,5993773,Pendidikan Jasmani (S2),689,323,3,12
RAHMAN,5991818,Pendidikan Dasar (S3),829,323,1,8
NURTI BUDIYANTI,6715332,Manajemen Resort dan Leisure (S1),392,322,0,10
RIRIN SISPIYATI,5986406,Pendidikan Matematika (S1),510,322,3,6
VINA ADRIANY,5979511,Pendidikan Anak Usia Dini (S2),997,317,6,12
HISNY FAJRUSSALAM,6688267,PGSD Kampus Purwakarta (S1),421,317,0,6
WAWAN GUNAWAN,5994823,Linguistik (S2),740,317,3,7
SUPRIADI,5994493,PGSD Kampus Serang (S1),643,315,3,8
BELTASAR TARIGAN,5979103,Pendidikan Olahraga (S3),744,313,4,13
IWAN KUSTIAWAN,5996452,Teknik Elektro (S1),741,312,4,7
SEPTIAN ANDRIYANI,6088520,Keperawatan (D3),426,290,1,7
AHMAD AMINUDIN,6002113,Fisika (S1),931,288,5,7
VIDI SUKMAYADI,5975463,Ilmu Komunikasi (S1),551,288,5,7
